isin,cusip,issuer,country,lei,eo_14071,securityType,securityType2,marketSector,is_bond
US25161EAB74,25161EAB7,Development Bank of the Republic of Belarus,by,253400D4JRB0M70A0687,f,PRIV PLACEMENT,Govt,Govt,true
US1689261030,168926103,China Communications Construction Company Limited,cn,529900LWYPVP93SJ2U42,f,ADR,Depositary Receipt,Equity,false
US1694261033,169426103,China Telecom Corporation Limited,cn,529900JXXCCUCX634T88,f,,,,false
US1261321095,126132109,CNOOC Limited,cn;hk,549300XIVJCBIGMRUD48,f,ADR,Depositary Receipt,Equity,false
US12634GAC78,12634GAC7,CNOOC Limited,cn;hk,549300XIVJCBIGMRUD48,f,GLOBAL,Corp,Corp,true
US16941M1099,16941M109,China Mobile Limited,cn;hk,529900U2JJ7GK68NI589,f,ADR,Depositary Receipt,Equity,false
US16945R1041,16945R104,China Unicom (Hong Kong) Limited,cn;hk,5299006RQXYNFYPOUS20,f,ADR,Depositary Receipt,Equity,false
US80585Y1001,80585Y100,PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,cn;in;ru,549300WE6TAF5EEWQS81,t,,,,false
US80585Y3080,80585Y308,PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,cn;in;ru,549300WE6TAF5EEWQS81,t,ADR,Depositary Receipt,Equity,false
US80585Y4070,80585Y407,PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,cn;in;ru,549300WE6TAF5EEWQS81,t,GDR,Depositary Receipt,Equity,false
US46630Q1031,46630Q103,VTB Bank,cn;in;ru,253400V1H6ART1UQ0N98;335800LW6BBDNFASPG17,t,GDR,Depositary Receipt,Equity,false
US46630Q2021,46630Q202,VTB Bank,cn;in;ru,253400V1H6ART1UQ0N98;335800LW6BBDNFASPG17,t,GDR,Depositary Receipt,Equity,false
US46630Q3011,46630Q301,VTB Bank,cn;in;ru,253400V1H6ART1UQ0N98;335800LW6BBDNFASPG17,t,,,,false
US46630Q4001,46630Q400,VTB Bank,cn;in;ru,253400V1H6ART1UQ0N98;335800LW6BBDNFASPG17,t,,,,false
US81663N2062,81663N206,Semiconductor Manufacturing International Corporation,cn;ky,300300522KCU7YI25841,f,ADR,Depositary Receipt,Equity,false
US71674T1025,71674T102,Atlas Mining LLC,gb;ru,213800ZZOU5P76L8XB92,f,,,,false
US6393461057,639346105,Nayara Energy Limited,in,335800EQ8YXHIA6YMS18,f,,,,false
US12504PAK66,12504PAK6,CREDIT BANK OF MOSCOW PUBLIC JOINT STOCK COMPANY,ru,2534000R9X3PNNE57C55,t,PRIV PLACEMENT,Corp,Corp,true
US54988LAB27,54988LAB2,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,PRIV PLACEMENT,Corp,Corp,true
US69343P1057,69343P105,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,ADR,Depositary Receipt,Equity,false
US69343P2048,69343P204,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,ADR,Depositary Receipt,Equity,false
US69343P3038,69343P303,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,,,,false
US69343P4028,69343P402,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,,,,false
US69343P5017,69343P501,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,,,,false
US69343P6007,69343P600,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,,,,false
US69343P7096,69343P709,LUKOIL OAO,ru,549300LCJ1UJXHYBWI24,t,,,,false
US58517T2096,58517T209,Megafon PAO,ru,213800HE6VDVJWT85874,t,,,,false
US78307AAE38,78307AAE3,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,PRIV PLACEMENT,Govt,Govt,true
US78307ACQ40,78307ACQ4,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,,,,false
US78307ACR23,78307ACR2,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,,,,false
US78307ACS06,78307ACS0,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,,,,false
US78307ACT88,78307ACT8,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,,,,false
US78307ACU51,78307ACU5,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,,,,false
US78307ACX90,78307ACX9,Ministry of Finance of the Russian Federation,ru,5493004EHVGF71PDBU58,t,,,,false
