isin,cusip,subsidiary_lei,sanctioned_parent_lei,sanctioned_parent
US12591DAD30,12591DAD3,549300QK7VNAZ4SHZS12,549300XIVJCBIGMRUD48,CNOOC Limited
US12625GAF19,12625GAF1,5493006KAH3PSSMCES09,549300XIVJCBIGMRUD48,CNOOC Limited
US12625GAD60,12625GAD6,5493006KAH3PSSMCES09,549300XIVJCBIGMRUD48,CNOOC Limited
US12625GAG91,12625GAG9,5493006KAH3PSSMCES09,549300XIVJCBIGMRUD48,CNOOC Limited
US136420AF31,136420AF3,549300I04PB7X2824122,549300XIVJCBIGMRUD48,CNOOC Limited
US65334HAJ14,65334HAJ1,549300I04PB7X2824122,549300XIVJCBIGMRUD48,CNOOC Limited
USG21886AB53,G21886AB5,549300KSB04UT8CS3T40,549300XIVJCBIGMRUD48,CNOOC Limited
US65334HAE27,65334HAE2,549300I04PB7X2824122,549300XIVJCBIGMRUD48,CNOOC Limited
US65334HAA05,65334HAA0,549300I04PB7X2824122,549300XIVJCBIGMRUD48,CNOOC Limited
US12591DAB73,12591DAB7,549300QK7VNAZ4SHZS12,549300XIVJCBIGMRUD48,CNOOC Limited
US12615TAB44,12615TAB4,549300KSB04UT8CS3T40,549300XIVJCBIGMRUD48,CNOOC Limited
US65334HAG74,65334HAG7,549300I04PB7X2824122,549300XIVJCBIGMRUD48,CNOOC Limited
